"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"C14orf179",316.380763131984,-0.714370099571013,0.0680120912960952,2.22352784816404e-26,7.99660760654128e-26
"SFRS5",3103.33970701028,-0.543460452963221,0.0514678738579049,2.23076791562466e-26,8.0208869180165e-26
"NPC1",1100.2869847086,0.583426073415655,0.0553150796014626,2.24760738831168e-26,8.07966337726857e-26
"SCML2",107.965618372035,1.25661818314554,0.121086951511616,2.25850719981488e-26,8.11706695849332e-26
"STMN3",1292.66548678668,-1.33665610072348,0.128699717233739,2.26128787886598e-26,8.12528041118042e-26
"KRT7",8253.08271705625,1.66043125354272,0.159393201507534,2.26421532319192e-26,8.13401750904884e-26
"TMEM175",405.074713500847,-0.717564083394314,0.0683580205185228,2.34952661281746e-26,8.43864353624805e-26
"GTF2H2B",229.685902382064,-1.69837951706896,0.163149791956047,2.45661734282879e-26,8.82134287968927e-26
"NAMPT",1853.10557645012,0.770475825709861,0.073577140501055,2.4658143019101e-26,8.85242985209702e-26
"KIAA1328",129.297305809328,-0.628030705498351,0.0596730727643201,2.47029854601037e-26,8.86658797597551e-26
"PIR",269.496010152606,1.03428300644252,0.0996394677445035,2.48686203847071e-26,8.92408619930761e-26
"SLC18A2",13.1253333234781,-1.93388288633632,0.186075044525507,2.5367875559354e-26,9.10125246719342e-26
"SERPING1",4559.22874156887,0.881613981350613,0.084571706409679,2.54312837415967e-26,9.12200628063438e-26
"TMEM139",342.900832701448,1.72036638097177,0.165331672945428,2.57011586362922e-26,9.21679285332532e-26
"B3GNT1",543.418854540122,-0.707191815226029,0.0674056796514455,2.59910516791629e-26,9.31871520641111e-26
"CKS2",842.564290515015,0.819788383207583,0.0784738059566301,2.60128344305289e-26,9.3244869572545e-26
"SACM1L",1050.55649913563,-0.476244706000255,0.0450952821939008,2.60579189032898e-26,9.33860703016525e-26
"GPR174",10.9822526293306,1.74752403002889,0.167975046428958,2.61336611953194e-26,9.36370564846711e-26
"ZFYVE28",157.867624362141,-0.852811029051934,0.0817447675225762,2.62457977698547e-26,9.40183054856796e-26
