"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"NRIP3",580.023282489041,-0.845683449066528,0.162042459760325,4.67425668866118e-09,1.29121414531128e-07,"Down"
"ACOX2",449.148340914822,0.787843132351651,0.150821472777445,4.74413000088047e-09,1.30830965563002e-07,"Up"
"FBXL13",22.0179036767039,-0.675419389197518,0.128659892984927,5.24861779138779e-09,1.43775264282146e-07,"Down"
"NCRNA00173",27.3281695238097,-0.728462588438353,0.139572765175865,5.35356259662723e-09,1.46161181492251e-07,"Down"
"C2orf88",71.9377345606946,-0.626218638227751,0.11873335689347,5.44050605478378e-09,1.48123206241126e-07,"Down"
"CT62",51.506802804145,0.710156114702299,0.136000902584967,5.51680233241212e-09,1.49373122326021e-07,"Up"
"THPO",50.8399117593454,0.763233860890379,0.146729942338703,5.508632168419e-09,1.49373122326021e-07,"Up"
"CBX2",536.583261085453,0.658399641173825,0.125581875274452,5.747116123893e-09,1.54587043063204e-07,"Up"
"SCD",15782.4118558953,0.647989087468076,0.123561823600511,5.90526185806058e-09,1.58062245909951e-07,"Up"
"PDE1C",26.1700590111571,-0.8165328843104,0.158323942141095,6.55848536388393e-09,1.74690323163874e-07,"Down"
"PGR",3035.66085506815,-0.906755412269273,0.176225410155164,6.8009310741586e-09,1.80560862116357e-07,"Down"
"LRRC31",123.523674157064,1.28909604170116,0.256155942263946,6.86887404991351e-09,1.82069621054423e-07,"Up"
"B4GALNT2",29.8629015668861,1.31457802863973,0.262573436571859,7.13159356649936e-09,1.88120183917594e-07,"Up"
"WNK3",26.1991439457328,-0.74214233416613,0.143904142869551,7.21591757835611e-09,1.89733460435074e-07,"Down"
"FBXO2",337.596753910905,-0.716433213453641,0.138648487123564,7.23365564450197e-09,1.89895053065043e-07,"Down"
"POU3F1",17.4010137843352,-0.813492427294323,0.158506748990695,7.49375936300038e-09,1.96094683906245e-07,"Down"
"KLHL14",21.0206520618753,-0.847964056072342,0.165513338330737,7.70461872047963e-09,2.00332316285995e-07,"Down"
"LOC100128977",16.2834177419745,-1.13383530344844,0.223235010539988,8.20622296948153e-09,2.12699586175755e-07,"Down"
"GSDMC",70.0747606631209,0.844997062834218,0.165437877747184,8.36133948056749e-09,2.16377728327292e-07,"Up"
"CAPN11",15.3192158355736,-0.667448700049568,0.129427658336542,8.7423567044714e-09,2.25525267993616e-07,"Down"
"CST4",121.129435667479,1.16726290020408,0.231467010425029,9.18307898412503e-09,2.35780590656665e-07,"Up"
"IKZF3",45.3254504767858,0.795158117241248,0.156047870119734,9.2083011382797e-09,2.36058186144225e-07,"Up"
"GREM1",1158.97349373593,0.621256503212559,0.120057082494383,9.28869585735954e-09,2.37376172916391e-07,"Up"
"QPRT",410.15153296405,0.634667461278848,0.122882413401423,9.33840132785474e-09,2.38274691824904e-07,"Up"
"KCNH3",20.2195345050432,-0.845542365994903,0.166401425386651,9.57128908787571e-09,2.4245900628325e-07,"Down"
"KCNIP2",76.0954892088208,-0.752438661825899,0.147560312597541,9.57639808712918e-09,2.4245900628325e-07,"Down"
"PKHD1",18.7868237064327,-1.00153999456518,0.197411721450408,9.67452047185468e-09,2.44565308409648e-07,"Down"
"KRT9",7.29126248035446,1.38886649204656,0.284440999349446,9.75573276599417e-09,2.46238302680663e-07,"Up"
"DUSP27",9.56735224327761,-0.802705086443564,0.15803024761013,9.9363097073031e-09,2.50410291254357e-07,"Down"
"PEG3",937.610919068585,-0.959770783732789,0.189633528858848,1.04020923379989e-08,2.60545373988929e-07,"Down"
"TNMD",11.6953500973618,-1.09435260408598,0.217701971201646,1.12703679747947e-08,2.79303930098504e-07,"Down"
"PCP4L1",48.8252414165798,0.92941549876781,0.18442635443016,1.16484541810591e-08,2.8736946978905e-07,"Up"
"KCNB1",18.8884525998505,-0.908293907467678,0.180296058277841,1.17770484487932e-08,2.89669415374897e-07,"Down"
"MCHR1",26.5262578882162,-0.780013909322126,0.154421980579696,1.17707554844792e-08,2.89669415374897e-07,"Down"
"PPAPDC1A",155.121803378324,0.653575480829493,0.128623852968852,1.34576456641483e-08,3.27562694835681e-07,"Up"
"LOC100190938",108.521582201557,-0.632584605101661,0.124235912084851,1.36541529978782e-08,3.31852641332704e-07,"Down"
"SLC16A6",462.368707578513,0.723326128636475,0.143508419109023,1.37105031934686e-08,3.32728522684753e-07,"Up"
"HAS3",141.302840990382,-0.700772686669686,0.138858253478564,1.40027012538323e-08,3.38316001827473e-07,"Down"
"INSM1",102.588183732686,-1.22323555156531,0.248510259498188,1.42872908876497e-08,3.44683522872739e-07,"Down"
"GGT1",643.540669215619,0.705738668848684,0.140105274490171,1.45107375887803e-08,3.49559400649722e-07,"Up"
"STXBP6",22.3507845018053,0.800294058745121,0.160123500274576,1.50882225315449e-08,3.61874338637244e-07,"Up"
"SLC8A2",35.2335209125939,-1.04553573217592,0.210061924284054,1.51249775052637e-08,3.62225521218896e-07,"Down"
"ENPP6",15.2718263913016,-0.586104016642862,0.114921754017913,1.52057374310026e-08,3.63628007090882e-07,"Down"
"CECR6",39.7710325218328,-0.605960666920902,0.119209511256372,1.55560583969788e-08,3.71463254520277e-07,"Down"
"PI15",1143.01308131726,-1.06633829756727,0.214696766613201,1.56075170750099e-08,3.71760410344135e-07,"Down"
"AR",685.92398665591,0.758571228423579,0.152173186253793,1.69869007028061e-08,4.00954496271854e-07,"Up"
"NPY5R",57.1969855556655,-1.3338433983199,0.277471174564065,1.71252737101661e-08,4.03059064146884e-07,"Down"
"KCNH8",16.0192563602936,-0.92385699030499,0.186233339301367,1.72596675225166e-08,4.05058185797054e-07,"Down"
"NLGN1",12.8391957250323,-0.967983553462353,0.195866869952875,1.87312890489613e-08,4.36468344112425e-07,"Down"
"COL17A1",771.523742558064,-0.95261221802171,0.19293877834998,1.92453934236245e-08,4.47175588187792e-07,"Down"
