"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"SC4MOL",1275.36442730176,0.485137273177663,0.0682724455728258,9.83947374622852e-14,7.36051194867362e-12,"NS"
"DMRTC2",6.75415712704005,2.40142529655724,0.369176426609529,1.12298736596042e-13,8.36166183718076e-12,"Up"
"MGAM",73.2111603651137,-1.34285043218089,0.195793729965977,1.17143280140926e-13,8.68291435288916e-12,"Down"
"KLHL29",90.1412087664042,-0.732530221530447,0.105615141779896,1.25280589131886e-13,9.24424022779017e-12,"Down"
"GPR141",15.0707615846225,0.830998481458671,0.12013578144872,1.29716037405469e-13,9.52860272977121e-12,"Up"
"DPY19L2P1",13.4469039086747,-1.37423690887035,0.201457282072941,1.30372590605706e-13,9.53407770853605e-12,"Down"
"RTN1",402.969372501773,-0.857633879098872,0.124096212417253,1.37462420811958e-13,9.96359254566672e-12,"Down"
"SLCO3A1",435.900064499246,-0.675938611170504,0.097249251522376,1.36964120135601e-13,9.96359254566672e-12,"Down"
"MGC42105",15.0829662533494,-1.0447325207318,0.1507472773388,1.44471140232811e-13,1.04254702561836e-11,"Down"
"SMARCD2",3459.29060866162,0.420700985527215,0.0599912433363771,1.53428116138233e-13,1.10232718002649e-11,"NS"
"POMC",19.0622999218935,1.03221014268128,0.149343549215955,1.63827764462527e-13,1.17190506972081e-11,"Up"
"CREB3L1",1571.97272650313,0.750933568862803,0.109010330693052,1.67859861956919e-13,1.19479193184311e-11,"Up"
"KRT222",76.4492566152823,0.598713460340974,0.0858320910198961,1.68486011999119e-13,1.19479193184311e-11,"Up"
"SLC16A11",19.4009656686242,-1.10463259601347,0.16017788752594,1.79586556783848e-13,1.26802042529147e-11,"Down"
"TMEM135",688.109887250076,0.477524655529734,0.068191596972171,2.03001799524292e-13,1.42719848841521e-11,"NS"
"TMEM231",212.596548724061,-0.4990581611113,0.0713812730691203,2.18715503463864e-13,1.53110199241092e-11,"NS"
"DRD2",24.1536041283384,-1.31129142990915,0.193475633968295,2.33772677262507e-13,1.62954477712218e-11,"Down"
"KMO",267.812014428494,0.954052432713275,0.139361369792457,2.41369394304058e-13,1.67536951190457e-11,"Up"
"BSN",76.3743878131161,-0.845549801893201,0.124296486763143,2.90203315452108e-13,2.00583143899619e-11,"Down"
"RNFT1",357.134652942086,0.462852537193851,0.0666633799631773,3.00546827881498e-13,2.06859562501127e-11,"NS"
