"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"UAP1L1",428.104813056694,-0.515473543663133,0.0772326862857939,6.40701942058071e-12,2.13693248385086e-11
"ELF1",1498.42709808789,-0.436844880895967,0.0648840073920407,6.47384053505e-12,2.15878036788829e-11
"MORN1",59.4473872268833,-0.739297384424066,0.113750381968209,6.51790214453511e-12,2.17303148123596e-11
"USP8",1171.55095700952,-0.391651791560474,0.0579429786471774,6.60589071122437e-12,2.20191882414577e-11
"BRD3",1234.48956981146,-0.430406309930144,0.0639220701532713,6.6476483079562e-12,2.21531544569811e-11
"PITRM1",2326.38399267072,0.417461922684929,0.0619198295581189,6.64878250269571e-12,2.21531544569811e-11
"CDX1",10.1557825892484,1.03387926944394,0.161056980318759,6.7958227131056e-12,2.26384809023296e-11
"MGAT4B",2148.99314131018,0.410078918354785,0.0608149591732897,6.8216277800944e-12,2.27198295384545e-11
"LOC253724",11.0213732648722,-0.573150046432811,0.0866263331674506,6.84850672995231e-12,2.28047210498189e-11
"NMI",668.166052466427,0.470397853056352,0.0702109211108652,6.86243144567063e-12,2.28464507820855e-11
"PRKAR1A",5924.89580998916,-0.437503820048812,0.0650735573270654,6.88767614154318e-12,2.29258424816828e-11
"ETS1",2557.35676484953,0.545127972738979,0.0821267027038888,6.95578456478325e-12,2.31478462601217e-11
"GLS2",44.8784789764858,-0.933787602530857,0.145412537358087,6.98335625215903e-12,2.32348869379644e-11
"U2AF1L4",148.95306940139,0.493303736978708,0.0738544264868153,6.98687455079528e-12,2.32418785756834e-11
"COL4A2",10961.6881158349,0.573869881234773,0.0868208493456801,7.12842856528192e-12,2.37079508832764e-11
"VPS41",1120.45354836431,-0.342932946714364,0.0506222189089719,7.18072213519896e-12,2.38770292283942e-11
"SRP14",3927.65927103654,-0.328695817127465,0.0484775172841875,7.23203473512162e-12,2.40427778192541e-11
"CSF2RB",462.104793503413,0.845279452553551,0.131369039152053,7.3043743930774e-12,2.42783491731811e-11
"MPST",869.071544524969,0.622944493589725,0.0949159095410045,7.41383160537309e-12,2.46371717631554e-11
"FTCD",11.080504114135,1.61193289117798,0.252065457753886,7.43815873375984e-12,2.47130074356619e-11
"C2orf39",3.51772928738865,-1.54213548374243,0.240827604026928,7.44118426342283e-12,2.47180529511796e-11
"DNAJC16",658.815842073262,-0.359620666602974,0.0531959071356351,7.44689767714915e-12,2.47320232027288e-11
"ERICH1",208.289182631884,0.458118536733374,0.0684206741773016,7.51798629482181e-12,2.49630625898709e-11
"FAM179A",9.15391642821401,1.10694102526422,0.172856371501566,7.57748560361982e-12,2.51453563334364e-11
"IL6",54.9221705983644,1.15832558373458,0.180820019584519,7.57603072453229e-12,2.51453563334364e-11
"TAF7",2392.52057050898,-0.329887315432696,0.0487055182344834,7.57508329324521e-12,2.51453563334364e-11
"SLU7",1004.00686544716,-0.26193453127754,0.038512145608709,7.59430462685301e-12,2.51960717625951e-11
"PLEKHA6",1688.82951998405,-0.752330039410703,0.116311449761044,7.62724302040091e-12,2.53002360492692e-11
"SMC6",1032.43214687288,0.375407913915185,0.055638910156568,7.66867061251541e-12,2.54325119403741e-11
"H2AFJ",2436.97517475995,-0.80470224831131,0.124920087044556,7.67861068230288e-12,2.54603296991741e-11
"ZNF282",785.445995711896,0.367303617182655,0.054412539150841,7.74661783077953e-12,2.56806330392637e-11
"PARP6",886.356997548746,0.400702677162584,0.0595369135863088,7.75758139894725e-12,2.57117817108369e-11
"MKI67",3366.57529495498,0.590871834922492,0.0897741692256903,7.82056430757595e-12,2.5915296229731e-11
"PARD6G",235.340769150698,0.525413885624664,0.0791849560267842,7.90164669446745e-12,2.61735307492144e-11
"UBE4B",1350.00597928276,0.366506091704713,0.0543139648287925,7.90168409864719e-12,2.61735307492144e-11
"PCDH9",21.9979603641825,1.03358199020204,0.161602372101076,7.92259408280787e-12,2.62374945972739e-11
"XKR8",201.706429086632,0.358397413114294,0.0530838987438938,7.94778723805050e-12,2.63156144662379e-11
"STAT5A",1029.58426003894,0.542008635865232,0.0818703760134392,7.96134438526734e-12,2.63551830376469e-11
"CNNM4",1001.42661524164,-0.468207688231432,0.0700999690257,7.99089880106461e-12,2.64476822102225e-11
"JMJD8",1652.16402901516,-0.437195868397236,0.0652506433659193,8.0729328038354e-12,2.67138020539262e-11
"SPDYA",12.8371281347477,0.633801932984517,0.0969064063278596,8.1432502883304e-12,2.69410517304323e-11
"ARL15",247.544857454008,-0.56180426705871,0.0851313262570205,8.20011201053902e-12,2.7123701816671e-11
"SMOC2",1365.8925502744,-0.820035571840172,0.127619996195314,8.20290528477585e-12,2.71274708439876e-11
"UNG",1392.68599490737,0.428038177000992,0.0638495376076309,8.22536170183259e-12,2.71962523674985e-11
"KLHL36",248.09772538617,0.43287211638173,0.0646047765250979,8.23772934625743e-12,2.72316554749417e-11
